"film_id","title","name","description"
7,"Airplane Sierra","Comedy","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat"
28,"Anthem Luke","Comedy","A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park"
99,"Bringing Hysterical","Comedy","A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat"
119,"Caper Motions","Comedy","A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention"
127,"Cat Coneheads","Comedy","A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India"
159,"Closer Bang","Comedy","A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India"
178,"Connection Microcosmos","Comedy","A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station"
182,"Control Anthem","Comedy","A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery"
188,"Crazy Home","Comedy","A Fanciful Panorama of a Boy And a Woman who must Vanquish a Database Administrator in The Outback"
202,"Daddy Pittsburgh","Comedy","A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico"
242,"Doom Dancing","Comedy","A Astounding Panorama of a Car And a Mad Scientist who must Battle a Lumberjack in A MySQL Convention"
247,"Downhill Enough","Comedy","A Emotional Tale of a Pastry Chef And a Forensic Psychologist who must Succumb a Monkey in The Sahara Desert"
265,"Dying Maker","Comedy","A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California"
276,"Element Freddy","Comedy","A Awe-Inspiring Reflection of a Waitress And a Squirrel who must Kill a Mad Cow in A Jet Boat"
308,"Ferris Mother","Comedy","A Touching Display of a Frisbee And a Frisbee who must Kill a Girl in The Gulf of Mexico"
317,"Fireball Philadelphia","Comedy","A Amazing Yarn of a Dentist And a A Shark who must Vanquish a Madman in An Abandoned Mine Shaft"
324,"Flintstones Happiness","Comedy","A Fateful Story of a Husband And a Moose who must Vanquish a Boy in California"
332,"Frankenstein Stranger","Comedy","A Insightful Character Study of a Feminist And a Pioneer who must Pursue a Pastry Chef in Nigeria"
335,"Freedom Cleopatra","Comedy","A Emotional Reflection of a Dentist And a Mad Cow who must Face a Squirrel in A Baloon"
365,"Gold River","Comedy","A Taut Documentary of a Database Administrator And a Waitress who must Reach a Mad Scientist in A Baloon Factory"
385,"Groundhog Uncut","Comedy","A Brilliant Panorama of a Astronaut And a Technical Writer who must Discover a Butler in A Manhattan Penthouse"
388,"Gunfight Moon","Comedy","A Epic Reflection of a Pastry Chef And a Explorer who must Reach a Dentist in The Sahara Desert"
404,"Hate Handicap","Comedy","A Intrepid Reflection of a Mad Scientist And a Pioneer who must Overcome a Hunter in The First Manned Space Station"
410,"Heaven Freedom","Comedy","A Intrepid Story of a Butler And a Car who must Vanquish a Man in New Orleans"
413,"Hedwig Alter","Comedy","A Action-Packed Yarn of a Womanizer And a Lumberjack who must Chase a Sumo Wrestler in A Monastery"
443,"Hurricane Affair","Comedy","A Lacklusture Epistle of a Database Administrator And a Woman who must Meet a Hunter in An Abandoned Mine Shaft"
444,"Hustler Party","Comedy","A Emotional Reflection of a Sumo Wrestler And a Monkey who must Conquer a Robot in The Sahara Desert"
478,"Jaws Harry","Comedy","A Thrilling Display of a Database Administrator And a Monkey who must Overcome a Dog in An Abandoned Fun House"
502,"Knock Warlock","Comedy","A Unbelieveable Story of a Teacher And a Boat who must Confront a Moose in A Baloon"
522,"Life Twisted","Comedy","A Thrilling Reflection of a Teacher And a Composer who must Find a Man in The First Manned Space Station"
524,"Lion Uncut","Comedy","A Intrepid Display of a Pastry Chef And a Cat who must Kill a A Shark in Ancient China"
529,"Lonely Elephant","Comedy","A Intrepid Story of a Student And a Dog who must Challenge a Explorer in Soviet Georgia"
555,"Mallrats United","Comedy","A Thrilling Yarn of a Waitress And a Dentist who must Find a Hunter in A Monastery"
568,"Memento Zoolander","Comedy","A Touching Epistle of a Squirrel And a Explorer who must Redeem a Pastry Chef in The Sahara Desert"
604,"Mulan Moon","Comedy","A Emotional Saga of a Womanizer And a Pioneer who must Overcome a Dentist in A Baloon"
613,"Mystic Truman","Comedy","A Epic Yarn of a Teacher And a Hunter who must Outgun a Explorer in Soviet Georgia"
638,"Operation Operation","Comedy","A Intrepid Character Study of a Man And a Frisbee who must Overcome a Madman in Ancient China"
657,"Paradise Sabrina","Comedy","A Intrepid Yarn of a Car And a Moose who must Outrace a Crocodile in A Manhattan Penthouse"
660,"Party Knock","Comedy","A Fateful Display of a Technical Writer And a Butler who must Battle a Sumo Wrestler in An Abandoned Mine Shaft"
672,"Perfect Groove","Comedy","A Thrilling Yarn of a Dog And a Dog who must Build a Husband in A Baloon"
680,"Pinocchio Simon","Comedy","A Action-Packed Reflection of a Mad Scientist And a A Shark who must Find a Feminist in California"
704,"Pure Runner","Comedy","A Thoughtful Documentary of a Student And a Madman who must Challenge a Squirrel in A Manhattan Penthouse"
754,"Rushmore Mermaid","Comedy","A Boring Story of a Woman And a Moose who must Reach a Husband in A Shark Tank"
756,"Saddle Antitrust","Comedy","A Stunning Epistle of a Feminist And a A Shark who must Battle a Woman in An Abandoned Fun House"
765,"Saturn Name","Comedy","A Fateful Epistle of a Butler And a Boy who must Redeem a Teacher in Berlin"
774,"Searchers Wait","Comedy","A Fast-Paced Tale of a Car And a Mad Scientist who must Kill a Womanizer in Ancient Japan"
814,"Snatch Slipper","Comedy","A Insightful Panorama of a Woman And a Feminist who must Defeat a Forensic Psychologist in Berlin"
837,"Stage World","Comedy","A Lacklusture Panorama of a Woman And a Frisbee who must Chase a Crocodile in A Jet Boat"
857,"Strictly Scarface","Comedy","A Touching Reflection of a Crocodile And a Dog who must Chase a Hunter in An Abandoned Fun House"
858,"Submarine Bed","Comedy","A Amazing Display of a Car And a Monkey who must Fight a Teacher in Soviet Georgia"
871,"Sweden Shining","Comedy","A Taut Documentary of a Car And a Robot who must Conquer a Boy in The Canadian Rockies"
905,"Trainspotting Strangers","Comedy","A Fast-Paced Drama of a Pioneer And a Mad Cow who must Challenge a Madman in Ancient Japan"
906,"Tramp Others","Comedy","A Brilliant Display of a Composer And a Cat who must Succumb a A Shark in Ancient India"
932,"Valley Packer","Comedy","A Astounding Documentary of a Astronaut And a Boy who must Outrace a Sumo Wrestler in Berlin"
938,"Velvet Terminator","Comedy","A Lacklusture Tale of a Pastry Chef And a Technical Writer who must Confront a Crocodile in An Abandoned Amusement Park"
939,"Vertigo Northwest","Comedy","A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan"
978,"Wisdom Worker","Comedy","A Unbelieveable Saga of a Forensic Psychologist And a Student who must Face a Squirrel in The First Manned Space Station"
1000,"Zorro Ark","Comedy","A Intrepid Panorama of a Mad Scientist And a Boy who must Redeem a Boy in A Monastery"
